,year,ARIMA,Observed,Linear,Naive
0,2009,1.8679333550406088,2.78283351,3.497608785333334,-0.855411004
1,2010,12.624742802953191,13.65952556,4.678075314000001,2.78283351
2,2011,4.725849751026848,-4.400943002,5.858541842666668,13.65952556
3,2012,8.795138394553907,0.77265573,7.039008371333335,-4.400943002
4,2013,12.97602842041953,3.290733419,8.219474900000002,0.77265573
5,2014,-0.22091983115964675,5.04229135,9.399941428666668,3.290733419
6,2015,4.4423384463012,-5.731308489,10.580407957333335,5.04229135
7,2016,5.297645992207549,10.66454174,11.760874486000002,-5.731308489
8,2017,5.398432320946085,-3.300733652,12.94134101466667,10.66454174
9,2018,0.938734295301221,3.921799133,14.121807543333333,-3.300733652
10,2019,8.898242754953621,nan,15.302274072,3.921799133
